material_id,material_name,formula,crystal_structure,bandgap_energy_eV,is_direct_bandgap,conductivity_S_cm,mobility_cm2_Vs,carrier_concentration_cm3,thermal_conductivity_W_mK,breakdown_field_MV_cm,absorption_coefficient_cm1,refractive_index,max_operating_temp_C,thermal_stability,potential_applications
RAND-0376,FlexAstron,Te,Orthorhombic,4.229,True,4.04,3815.55,2.55e+18,466.46,0.101,8.09e+03,2.73,740.9,High,General semiconductor applications
MOD-MoS2-0377,"Advanced Molybdenum Disulfide (nanoporous, gradient-doped)",MoS2,Hexagonal,1.827,True,280.69,347.88,6.74e+18,182.54,0.295,7.41e+03,1.95,1013.9,Very High,LEDs
HYB-GaAs-CdS-0378,Hybrid Gallium Arsenide-Cadmium Sulfide,GaAs-CdS,Zincblende,1.755,True,3363.82,4793.72,2.46e+16,381.26,0.354,2.14e+03,2.93,420.5,Medium,"LEDs, Transistors"
RAND-0379,NanoCtron,SeAs1C,Orthorhombic,4.755,True,43.56,1847.22,5.81e+15,83.86,5.656,3.68e+04,1.52,1035.4,Very High,High Power Electronics
MOD-AlGaAs-0380,"Custom Aluminium Gallium Arsenide (mesoporous, lightly doped)",AlGaAs,Zincblende,1.292,False,2971.59,3800.5,4.82e+16,409.76,0.108,6.23e+05,4.44,498.2,Medium,"Solar Cells, Transistors, Photodetectors"
RAND-0381,NovaSnium,B3,Monoclinic,3.188,False,7126.33,4280.17,6.48e+16,484.58,1.301,6.23e+05,2.23,230.6,Low,Transistors
RAND-0382,NovaAsphene,GeGa,Amorphous,3.411,True,3613.94,2192.88,3.52e+16,40.82,1.411,3.61e+04,3.32,1125.8,Very High,"LEDs, High Power Electronics, Transistors, Transparent Conductors"
RAND-0383,MacroTedex,Ti3In2Sn,Orthorhombic,3.208,False,3143.09,3526.79,1.38e+21,258.72,1.547,2.36e+05,3.01,1084.2,Very High,"High Power Electronics, Transistors, Transparent Conductors"
RAND-0384,MicroSitron,B,Triclinic,1.908,False,1.99,2879.82,1.27e+17,322.81,1.09,2.07e+05,3.14,1178.8,Very High,Photodetectors
RAND-0385,PicoZnflux,AlPbTi1,Tetragonal,0.347,False,0.32,3871.5,3.24e+16,115.81,4.801,6.36e+03,1.6,904.2,Very High,General semiconductor applications
RAND-0386,NanoSnzine,AsTi3Ge2,Orthorhombic,2.705,True,2091.24,3593.02,4.23e+19,198.35,4.935,7.72e+05,2.7,688.2,High,"LEDs, High Power Electronics, Transistors, Photodetectors"
RAND-0387,MacroAlmide,S2GaTi2,Orthorhombic,4.295,False,4.21,4760.0,4.25e+19,208.22,4.246,7.20e+03,1.66,522.1,High,High Power Electronics
RAND-0388,QuantumZnmide,Ga3,Tetragonal,3.494,True,0.04,1861.53,1.71e+16,300.07,9.919,1.09e+04,3.89,605.1,High,High Power Electronics
HYB-Graphene-GaAs-0389,Hybrid Graphene-Gallium Arsenide,C-GaAs,Hexagonal,0.674,False,7644.39,9215.85,3.31e+16,18.41,0.04,2.51e+05,1.76,1023.9,Very High,"Transistors, Photodetectors"
RAND-0390,UltraGezine,Ge,Tetragonal,5.168,False,121.17,3946.15,6.88e+19,163.93,6.074,1.89e+05,3.4,1068.7,Very High,General semiconductor applications
HYB-AlGaAs-MAPbI3-0391,Hybrid Aluminium Gallium Arsenide-Methylammonium Lead Iodide,AlGaAs-CH3NH3PbI3,Zincblende,1.699,True,1807.91,1708.59,2.21e+17,97.71,0.367,1.08e+05,2.28,399.1,Medium,"Solar Cells, LEDs, Transistors, Photodetectors"
RAND-0392,NeoSinium,Al3Te3,Monoclinic,2.036,False,7.29,637.66,2.36e+15,382.92,2.482,3.75e+03,4.4,128.2,Low,General semiconductor applications
RAND-0393,UltraPbtron,Ga2C1,Amorphous,4.79,False,778.48,2539.43,4.55e+16,115.49,1.695,4.19e+05,2.46,743.5,High,"High Power Electronics, Transistors, Transparent Conductors"
MOD-SiC-0394,"Next-gen Silicon Carbide (nanoporous, heavily doped)",SiC,Cubic (3C),4.323,False,893.82,1702.34,1.01e+16,73.11,2.64,3.50e+05,4.07,1035.1,Very High,"High Power Electronics, Transistors, Transparent Conductors"
RAND-0395,NeoTedex,P1C,Orthorhombic,1.948,True,0.09,3619.7,7.25e+20,44.64,3.334,1.43e+05,2.79,769.2,High,Photodetectors
HYB-MoS2-CdS-0396,Hybrid Molybdenum Disulfide-Cadmium Sulfide,MoS2-CdS,Wurtzite,2.106,True,106.17,98.64,1.04e+16,37.2,0.71,4.11e+05,1.55,638.9,High,"LEDs, Photodetectors"
MOD-MoS2-0397,"Modified Molybdenum Disulfide (nanostructured, co-doped)",MoS2,Hexagonal,1.176,True,297.43,242.98,3.20e+18,262.48,0.198,2.01e+04,2.85,605.6,High,General semiconductor applications
HYB-TiO2-InP-0398,Hybrid Titanium Dioxide-Indium Phosphide,TiO2-InP,Brookite,1.915,True,3194.91,2670.62,3.28e+18,268.42,0.473,2.42e+03,2.97,733.4,High,"LEDs, Transistors"
RAND-0399,PicoIndex,C,Monoclinic,4.807,True,0.72,2043.09,5.15e+21,157.37,9.27,4.67e+04,3.03,202.1,Low,General semiconductor applications
RAND-0400,FlexCphene,In2Te1,Tetragonal,1.977,True,0.05,3316.82,8.03e+21,413.72,3.345,5.00e+05,1.95,630.4,High,Photodetectors
RAND-0401,UltraCdflux,Ge1,Hexagonal,2.554,True,107.66,3992.61,5.84e+16,158.27,0.266,7.06e+04,4.08,911.5,Very High,"LEDs, Photodetectors"
MOD-Si-0402,"Next-gen Silicon (strained, selectively doped)",Si,Amorphous,1.634,True,915.39,1325.17,1.04e+16,381.77,0.34,3.68e+04,1.82,850.4,Very High,"LEDs, Transistors"
HYB-ZnO-Graphene-0403,Hybrid Zinc Oxide-Graphene,ZnO-C,Rocksalt,1.54,True,5520.44,5159.53,1.32e+18,228.91,0.274,7.79e+05,1.61,1085.5,Very High,"Transistors, Photodetectors"
MOD-Ge-0404,High-performance Germanium (gradient-doped),Ge,Amorphous,0.454,False,2473.17,4279.47,5.10e+18,331.97,0.017,9.40e+05,2.51,421.0,Medium,"Transistors, Thermoelectrics"
RAND-0405,UltraSecite,Sn3TiPb1,Orthorhombic,1.079,True,9.91,1160.9,2.32e+15,74.25,2.794,3.37e+03,3.04,101.8,Low,General semiconductor applications
MOD-Si-0406,Silicon,Si,Amorphous,1.281,False,1032.02,812.21,7.88e+15,490.04,0.094,2.00e+04,2.82,554.2,High,Transistors
MOD-TiO2-0407,Titanium Dioxide,TiO2,Brookite,1.869,False,0.13,0.21,7.72e+20,295.29,0.549,1.47e+05,4.3,1197.0,Very High,Photodetectors
RAND-0408,SynthPbnium,B1Si,Hexagonal,3.064,True,0.03,1307.13,6.46e+15,62.33,8.669,4.19e+04,2.31,355.2,Medium,General semiconductor applications
RAND-0409,QuantumAlzine,SSiGa1,Cubic,5.225,True,0.01,1335.46,9.81e+15,196.45,7.883,3.65e+03,3.92,1017.7,Very High,General semiconductor applications
RAND-0410,FlexAldyne,Si1Pb3,Triclinic,2.72,False,0.21,2234.83,3.63e+21,197.11,2.462,3.54e+03,1.65,222.0,Low,General semiconductor applications
RAND-0411,FlexSezine,C3Sn3,Monoclinic,2.508,True,7.71,295.6,3.49e+20,73.51,2.929,1.03e+03,3.98,607.8,High,High Power Electronics
RAND-0412,SynthCmide,S,Amorphous,0.674,True,99.67,447.95,1.64e+20,203.7,9.685,4.65e+03,3.77,195.7,Low,General semiconductor applications
HYB-SnO2-MoS2-0413,Hybrid Tin Dioxide-Molybdenum Disulfide,SnO2-MoS2,Rutile,3.201,True,48.2,51.02,4.19e+20,336.72,1.609,2.21e+05,2.11,774.8,High,High Power Electronics
MOD-Ge-0414,Germanium,Ge,Amorphous,0.642,True,3118.98,2456.59,4.73e+21,358.87,0.023,7.92e+03,3.4,471.4,Medium,"Transistors, Thermoelectrics"
MOD-Si-0415,Advanced Silicon (quantum-confined),Si,Amorphous,0.697,True,1085.95,1618.3,3.26e+16,373.71,0.026,9.30e+03,3.03,1141.8,Very High,"Transistors, Thermoelectrics"
MOD-TiO2-0416,High-performance Titanium Dioxide (strained),TiO2,Brookite,1.647,False,0.1,0.08,2.06e+17,50.82,0.428,3.26e+05,2.78,373.6,Medium,Photodetectors
MOD-SnO2-0417,Tin Dioxide,SnO2,Cassiterite,2.664,False,4.27,4.02,1.47e+18,237.59,0.902,3.59e+05,4.43,552.2,High,Photodetectors
HYB-CdS-ZnO-0418,Hybrid Cadmium Sulfide-Zinc Oxide,CdS-ZnO,Wurtzite,3.102,True,146.37,149.25,3.34e+19,242.54,1.808,5.18e+04,2.32,772.5,High,"LEDs, High Power Electronics, Transparent Conductors"
HYB-AlGaAs-InP-0419,Hybrid Aluminium Gallium Arsenide-Indium Phosphide,AlGaAs-InP,Zincblende,1.677,True,3436.38,3206.56,2.16e+18,298.33,0.296,1.95e+03,1.68,330.7,Medium,"LEDs, Transistors"
MOD-MAPbI3-0420,"Next-gen Methylammonium Lead Iodide (nanoporous, heavily doped)",CH3NH3PbI3,Cubic,1.886,True,61.23,34.76,6.93e+16,61.07,0.295,1.05e+04,2.89,192.6,Low,General semiconductor applications
MOD-CdTe-0421,"Custom Cadmium Telluride (2D, selectively doped)",CdTe,Zincblende,1.924,True,1145.21,1148.75,2.92e+18,385.61,0.42,2.62e+03,1.84,357.0,Medium,"LEDs, Transistors"
HYB-TiO2-AlGaAs-0422,Hybrid Titanium Dioxide-Aluminium Gallium Arsenide,TiO2-AlGaAs,Brookite,2.154,True,2242.12,1976.14,2.81e+18,362.95,0.604,5.62e+04,3.43,732.3,High,"LEDs, Transistors, Photodetectors"
MOD-MAPbI3-0423,Methylammonium Lead Iodide,CH3NH3PbI3,Cubic,1.546,True,71.66,41.94,6.91e+16,335.4,0.442,4.67e+04,2.84,286.4,Low,General semiconductor applications
MOD-MAPbI3-0424,Modified Methylammonium Lead Iodide (lightly doped),CH3NH3PbI3,Tetragonal,1.202,True,28.24,52.47,2.75e+19,400.56,0.165,2.00e+03,3.92,262.2,Low,General semiconductor applications
RAND-0425,MicroSeflux,Te3InAs1,Hexagonal,5.268,True,1648.73,2919.53,3.48e+17,499.2,1.621,1.13e+03,4.43,256.0,Low,Transistors
MOD-SnO2-0426,High-performance Tin Dioxide (epitaxial),SnO2,Rutile,4.577,False,4.99,5.31,5.59e+21,364.3,3.273,5.19e+03,1.72,448.9,Medium,General semiconductor applications
MOD-CdTe-0427,Cadmium Telluride,CdTe,Zincblende,1.496,True,507.48,877.67,2.46e+19,27.88,0.198,4.77e+03,4.03,739.1,High,Transistors
RAND-0428,UltraGanium,S3Al1,Hexagonal,3.583,False,0.26,4372.94,5.53e+20,197.89,4.667,6.07e+03,1.72,684.9,High,High Power Electronics
MOD-GaAs-0429,Engineered Gallium Arsenide (nanoporous),GaAs,Zincblende,1.34,True,3569.64,4252.93,5.04e+20,105.64,0.229,1.94e+03,4.06,162.1,Low,Transistors
MOD-CdTe-0430,Cadmium Telluride,CdTe,Zincblende,1.161,True,875.89,725.24,8.41e+19,262.97,0.184,5.36e+05,1.98,796.9,High,"Solar Cells, Transistors, Photodetectors"
RAND-0431,UltraBnium,Si1,Hexagonal,3.559,False,0.43,558.41,6.95e+15,138.34,5.645,5.79e+05,2.22,1132.2,Very High,High Power Electronics
HYB-AlGaAs-ZnO-0432,Hybrid Aluminium Gallium Arsenide-Zinc Oxide,AlGaAs-ZnO,Wurtzite,2.396,False,1937.07,1604.43,3.26e+18,420.44,0.944,1.80e+04,4.45,771.9,High,Transistors
MOD-MoS2-0433,Molybdenum Disulfide,MoS2,Hexagonal,2.211,False,126.41,109.77,7.33e+16,1.93,0.494,7.10e+03,1.62,922.2,Very High,General semiconductor applications
HYB-GaN-AlGaAs-0434,Hybrid Gallium Nitride-Aluminium Gallium Arsenide,GaN-AlGaAs,Zincblende,2.155,True,2601.08,3689.64,1.09e+19,115.26,0.676,1.64e+05,3.28,518.4,High,"LEDs, Transistors, Photodetectors"
RAND-0435,FlexPbphene,Ge2B1,Triclinic,2.055,True,807.05,14.2,5.74e+19,383.89,7.92,1.13e+05,2.48,711.1,High,"LEDs, Photodetectors"
HYB-InP-ZnO-0436,Hybrid Indium Phosphide-Zinc Oxide,InP-ZnO,Rocksalt,2.725,False,1605.46,2387.27,1.02e+20,80.22,1.361,9.42e+04,1.69,708.6,High,"High Power Electronics, Transistors, Photodetectors"
RAND-0437,MicroAltron,Sn1P,Cubic,3.342,False,68.64,1224.39,8.12e+18,3.98,6.516,3.69e+05,2.52,359.1,Medium,General semiconductor applications
HYB-Si-GaN-0438,Hybrid Silicon-Gallium Nitride,Si-GaN,Wurtzite,1.986,False,1075.93,1376.85,3.23e+16,381.73,0.599,4.05e+05,3.79,692.7,High,"Transistors, Photodetectors"
RAND-0439,MicroTezine,InCd,Cubic,5.296,False,2284.53,4177.32,1.44e+19,353.97,0.712,3.51e+03,2.9,557.5,High,Transistors
RAND-0440,SynthCnium,Ti,Tetragonal,4.316,False,304.6,2320.82,8.71e+19,389.1,6.742,2.08e+03,2.26,1071.1,Very High,"High Power Electronics, Transparent Conductors"
RAND-0441,NovaBdex,Pb1,Triclinic,3.674,False,0.15,2836.5,1.84e+19,191.13,6.594,1.08e+04,1.54,1175.1,Very High,High Power Electronics
HYB-GaN-TiO2-0442,Hybrid Gallium Nitride-Titanium Dioxide,GaN-TiO2,Rutile,3.324,False,745.74,859.0,5.98e+20,430.39,1.973,7.99e+03,1.55,674.5,High,"High Power Electronics, Transistors, Transparent Conductors"
RAND-0443,PicoPbnium,Ge1SeTe1,Cubic,5.258,True,522.23,724.05,1.21e+21,239.54,3.64,1.09e+03,1.66,882.5,Very High,Transistors
MOD-CdS-0444,Cadmium Sulfide,CdS,Zincblende,2.409,True,3.13,5.11,9.16e+20,55.36,1.15,6.43e+03,1.95,550.4,High,General semiconductor applications
HYB-InP-CdTe-0445,Hybrid Indium Phosphide-Cadmium Telluride,InP-CdTe,Zincblende,1.439,True,2257.65,2914.13,1.47e+21,309.86,0.245,9.24e+04,3.92,390.9,Medium,"Transistors, Photodetectors"
RAND-0446,NovaGecite,Pb3,Hexagonal,3.641,True,0.49,3223.38,5.05e+17,200.29,9.829,1.33e+03,2.21,749.1,High,High Power Electronics
MOD-Si-0447,Next-gen Silicon (lightly doped),Si,Cubic (Diamond),1.454,True,562.93,969.58,1.33e+17,89.24,0.155,1.27e+03,2.06,1150.9,Very High,Transistors
MOD-GaN-0448,Gallium Nitride,GaN,Wurtzite,1.951,True,755.8,1044.63,1.11e+21,272.2,0.444,8.84e+05,2.97,1008.4,Very High,"LEDs, Transistors, Photodetectors"
MOD-Graphene-0449,Graphene,C,Hexagonal,0.0,False,11789.14,13286.36,5.09e+21,52.92,0.0,1.92e+05,3.94,555.3,High,General semiconductor applications
RAND-0450,QuantumCdcite,TeB3In,Tetragonal,3.848,True,48.18,4235.4,1.76e+15,453.03,1.29,5.89e+03,4.11,569.7,High,High Power Electronics
MOD-ZnO-0451,Enhanced Zinc Oxide (mesoporous),ZnO,Zincblende,1.97,False,324.9,473.71,4.13e+17,410.17,0.649,4.31e+05,4.23,431.9,Medium,Photodetectors
RAND-0452,NovaAlmide,ZnCd1,Orthorhombic,4.069,True,9636.42,704.83,1.28e+19,207.88,5.373,3.04e+05,2.07,813.2,Very High,"High Power Electronics, Transistors"
HYB-CdTe-SnO2-0453,Hybrid Cadmium Telluride-Tin Dioxide,CdTe-SnO2,Cassiterite,1.937,True,515.83,485.35,2.17e+17,180.56,0.498,7.89e+03,1.89,731.1,High,"LEDs, Transistors"
MOD-TiO2-0454,Titanium Dioxide,TiO2,Brookite,3.414,True,0.08,0.07,2.43e+15,480.41,2.68,4.58e+05,3.89,708.7,High,High Power Electronics
HYB-Cu2O-GaN-0455,Hybrid Copper(I) Oxide-Gallium Nitride,Cu2O-GaN,Wurtzite,3.009,True,865.17,942.02,6.78e+19,376.34,1.627,1.62e+03,3.01,635.0,High,"LEDs, High Power Electronics, Transistors, Transparent Conductors"
HYB-InP-GaN-0456,Hybrid Indium Phosphide-Gallium Nitride,InP-GaN,Wurtzite,1.822,True,3817.6,5132.0,1.36e+15,354.67,0.378,1.68e+03,1.85,534.5,High,"LEDs, Transistors"
RAND-0457,NovaTecite,Ga3C1B,Cubic,4.774,True,1.43,3002.14,9.95e+17,473.55,5.913,1.10e+05,1.99,296.1,Low,General semiconductor applications
MOD-SiC-0458,Silicon Carbide,SiC,"Hexagonal (4H, 6H)",3.242,True,558.91,290.88,1.01e+19,196.6,1.408,8.05e+05,4.21,922.7,Very High,"LEDs, High Power Electronics, Transistors, Transparent Conductors"
RAND-0459,NeoGecite,InTiS2,Hexagonal,2.765,True,0.35,2037.61,3.90e+18,357.07,4.194,6.23e+05,4.32,384.9,Medium,Photodetectors
MOD-CdTe-0460,"High-performance Cadmium Telluride (strained, lightly doped)",CdTe,Zincblende,1.821,True,495.31,249.87,1.29e+16,367.74,0.256,3.30e+03,4.1,432.3,Medium,LEDs
RAND-0461,QuantumAlcite,SSi,Orthorhombic,4.552,False,699.58,474.51,1.88e+17,211.04,5.163,1.48e+03,2.81,706.3,High,"High Power Electronics, Transistors, Transparent Conductors"
HYB-MoS2-Si-0462,Hybrid Molybdenum Disulfide-Silicon,MoS2-Si,Amorphous,1.557,True,485.44,486.05,1.37e+18,447.7,0.333,2.43e+03,4.45,571.3,High,LEDs
MOD-Si-0463,"Next-gen Silicon (nanostructured, selectively doped)",Si,Cubic (Diamond),0.92,False,1165.13,2247.64,5.02e+18,391.31,0.12,1.20e+05,3.04,504.7,High,"Transistors, Photodetectors, Thermoelectrics"
MOD-CdS-0464,"Modified Cadmium Sulfide (nanostructured, lightly doped)",CdS,Zincblende,2.731,True,13.91,13.86,1.73e+15,463.61,1.671,1.69e+03,1.84,635.4,High,High Power Electronics
MOD-SnO2-0465,"High-performance Tin Dioxide (mesoporous, lightly doped)",SnO2,Rutile,3.733,False,2.76,2.61,1.45e+18,395.7,3.264,8.72e+03,1.97,1132.0,Very High,High Power Electronics
RAND-0466,MicroSitron,In1Se3Ga,Amorphous,1.407,False,0.03,1945.56,3.03e+15,138.27,0.456,1.36e+05,2.53,866.1,Very High,Photodetectors
RAND-0467,NeoCdflux,Ga3,Cubic,0.186,False,5.03,2967.0,2.07e+17,340.2,7.072,4.32e+03,3.66,1173.0,Very High,General semiconductor applications
MOD-TiO2-0468,Titanium Dioxide,TiO2,Brookite,3.497,True,0.1,0.08,2.98e+15,70.64,2.573,4.42e+05,3.03,378.1,Medium,General semiconductor applications
RAND-0469,NanoGelite,Ga,Amorphous,5.361,False,111.41,4716.49,7.08e+16,370.82,5.024,3.02e+03,3.74,275.0,Low,General semiconductor applications
RAND-0470,MicroAlflux,TeZn1,Monoclinic,4.866,True,3.32,1377.49,6.74e+21,371.39,1.558,2.31e+03,3.91,243.0,Low,General semiconductor applications
HYB-CdTe-ZnO-0471,Hybrid Cadmium Telluride-Zinc Oxide,CdTe-ZnO,Zincblende,2.22,True,476.84,398.48,9.98e+17,36.32,0.85,9.62e+04,2.01,521.8,High,"LEDs, Photodetectors"
RAND-0472,FlexGadyne,As2Ti1,Triclinic,1.838,False,1.53,4038.79,2.66e+15,268.7,4.365,4.05e+04,4.36,960.5,Very High,General semiconductor applications
MOD-TiO2-0473,Titanium Dioxide,TiO2,Rutile,4.673,False,0.17,0.21,9.18e+18,489.26,2.539,8.02e+03,1.74,808.0,Very High,High Power Electronics
MOD-ZnO-0474,Zinc Oxide,ZnO,Zincblende,3.958,True,96.79,108.45,7.32e+16,424.25,3.683,5.04e+03,1.71,1118.7,Very High,High Power Electronics
MOD-ZnO-0475,Next-gen Zinc Oxide (selectively doped),ZnO,Wurtzite,4.654,True,137.99,90.25,9.95e+16,62.67,5.873,1.73e+03,4.07,951.2,Very High,"High Power Electronics, Transparent Conductors"
RAND-0476,QuantumAscite,Te3S,Triclinic,3.67,False,41.02,3717.72,2.04e+15,424.45,6.865,9.43e+03,1.69,344.9,Medium,General semiconductor applications
RAND-0477,NeoPbnium,Si1In3As,Amorphous,4.73,True,5663.23,397.2,1.87e+19,294.21,3.42,3.09e+05,2.33,506.7,High,"High Power Electronics, Transistors"
MOD-TiO2-0478,Titanium Dioxide,TiO2,Rutile,2.527,False,0.11,0.07,2.07e+21,150.1,1.097,2.30e+04,1.55,1005.2,Very High,High Power Electronics
MOD-SnO2-0479,Tin Dioxide,SnO2,Cassiterite,3.57,False,5.69,10.13,6.15e+18,225.07,3.073,7.94e+03,3.65,744.8,High,High Power Electronics
MOD-SiC-0480,Silicon Carbide,SiC,"Hexagonal (4H, 6H)",3.579,False,514.42,264.28,1.47e+21,314.3,1.91,1.05e+05,3.92,1060.3,Very High,"High Power Electronics, Transistors, Transparent Conductors"
HYB-InP-GaN-0481,Hybrid Indium Phosphide-Gallium Nitride,InP-GaN,Zincblende,2.248,False,3111.27,4404.28,7.88e+21,427.78,0.754,2.04e+04,1.99,539.9,High,Transistors
MOD-CdTe-0482,Modified Cadmium Telluride (heavily doped),CdTe,Zincblende,0.987,True,857.02,1273.57,9.23e+21,295.81,0.065,2.43e+04,2.12,550.6,High,"Transistors, Thermoelectrics"
HYB-GaN-InP-0483,Hybrid Gallium Nitride-Indium Phosphide,GaN-InP,Wurtzite,1.994,False,3531.38,3050.58,6.47e+17,389.91,0.605,8.70e+05,2.79,655.0,High,"Transistors, Photodetectors"
MOD-SiC-0484,Enhanced Silicon Carbide (lightly doped),SiC,Cubic (3C),1.931,False,398.14,568.83,1.37e+16,169.25,0.438,1.58e+05,3.72,978.6,Very High,Photodetectors
RAND-0485,QuantumTinium,Zn2,Cubic,3.254,True,5.12,699.4,1.98e+19,344.26,1.335,1.07e+05,2.89,816.3,Very High,High Power Electronics
HYB-MAPbI3-SnO2-0486,Hybrid Methylammonium Lead Iodide-Tin Dioxide,CH3NH3PbI3-SnO2,Rutile,2.286,False,33.85,48.66,3.54e+16,473.73,0.786,2.74e+05,3.3,632.9,High,Photodetectors
RAND-0487,UltraBtron,SnS3Se1,Triclinic,2.983,False,9625.34,326.72,6.91e+16,223.87,4.775,9.22e+03,3.65,424.6,Medium,Transistors
RAND-0488,MicroTimide,Al3Se,Hexagonal,1.335,False,0.36,3922.15,9.84e+16,381.36,5.836,7.18e+05,1.54,703.6,High,Photodetectors
MOD-GaAs-0489,Advanced Gallium Arsenide (gradient-doped),GaAs,Zincblende,0.822,True,4756.62,6253.58,4.36e+20,428.66,0.068,1.10e+04,1.73,609.7,High,"Transistors, Thermoelectrics"
MOD-TiO2-0490,Custom Titanium Dioxide (nanoporous),TiO2,Brookite,4.507,False,0.02,0.01,3.05e+19,96.91,3.65,7.61e+03,3.38,474.2,Medium,General semiconductor applications
MOD-SiC-0491,Silicon Carbide,SiC,Cubic (3C),4.034,False,356.72,641.02,3.47e+17,72.6,3.874,9.10e+03,2.62,609.7,High,"High Power Electronics, Transparent Conductors"
MOD-CdTe-0492,Custom Cadmium Telluride (gradient-doped),CdTe,Zincblende,2.018,True,740.48,553.43,4.29e+20,394.03,0.838,2.70e+05,4.0,785.8,High,"LEDs, Transistors, Photodetectors"
HYB-GaAs-CdS-0493,Hybrid Gallium Arsenide-Cadmium Sulfide,GaAs-CdS,Zincblende,1.839,True,2940.81,2455.99,8.25e+18,304.05,0.42,1.25e+03,2.84,328.6,Medium,"LEDs, Transistors"
RAND-0494,SynthCzine,C1SiTi,Amorphous,0.281,True,0.58,4216.44,2.09e+20,325.74,2.512,1.74e+05,4.18,848.5,Very High,General semiconductor applications
HYB-TiO2-CdS-0495,Hybrid Titanium Dioxide-Cadmium Sulfide,TiO2-CdS,Anatase,2.935,False,3.46,4.57,2.11e+19,201.61,1.235,2.99e+03,2.13,538.2,High,High Power Electronics
MOD-TiO2-0496,Custom Titanium Dioxide (gradient-doped),TiO2,Rutile,4.342,False,0.14,0.22,9.75e+19,58.86,5.132,1.48e+05,2.19,397.2,Medium,General semiconductor applications
RAND-0497,PicoTinium,InAs1Te1,Triclinic,4.945,False,5976.44,4982.59,9.38e+20,473.49,7.14,6.79e+05,2.31,207.3,Low,Transistors
RAND-0498,QuantumAltron,C1PbP,Tetragonal,4.682,False,3.69,4253.84,7.86e+17,65.38,1.874,8.04e+03,3.26,557.0,High,High Power Electronics
RAND-0499,PicoPbphene,B1,Orthorhombic,3.37,False,6402.72,696.01,7.45e+20,254.27,0.701,1.21e+03,3.64,312.4,Medium,Transistors
RAND-0500,NanoBnium,Al,Orthorhombic,5.155,False,0.33,932.16,2.49e+15,436.18,6.132,1.55e+04,1.67,399.4,Medium,General semiconductor applications
MOD-Si-0501,Silicon,Si,Cubic (Diamond),0.56,False,597.05,837.53,2.12e+18,19.58,0.015,2.79e+05,4.45,1163.2,Very High,"Transistors, Photodetectors, Thermoelectrics"
RAND-0502,NovaPzine,C1,Amorphous,1.795,False,252.21,1606.13,7.55e+19,357.91,9.604,5.05e+05,2.78,792.7,High,Photodetectors
RAND-0503,QuantumSedex,SSe2Ge,Triclinic,2.16,True,0.03,4183.02,3.89e+16,121.41,6.588,8.11e+04,4.07,355.7,Medium,Photodetectors
MOD-AlGaAs-0504,Engineered Aluminium Gallium Arsenide (co-doped),AlGaAs,Zincblende,2.603,True,1718.87,1007.2,5.36e+19,133.4,1.493,2.84e+04,2.46,597.7,High,"LEDs, High Power Electronics, Transistors"
RAND-0505,MicroTedyne,C2,Amorphous,3.328,False,0.03,3847.01,6.37e+15,319.58,1.841,5.51e+03,3.28,868.1,Very High,High Power Electronics
HYB-ZnO-AlGaAs-0506,Hybrid Zinc Oxide-Aluminium Gallium Arsenide,ZnO-AlGaAs,Wurtzite,2.678,False,1433.29,1591.04,5.61e+18,483.54,1.19,1.38e+03,3.65,612.9,High,"High Power Electronics, Transistors"
RAND-0507,NanoAllite,Ti2GeZn,Amorphous,2.36,True,0.08,4860.36,1.07e+21,86.44,2.986,4.31e+05,3.13,1037.7,Very High,Photodetectors
MOD-Cu2O-0508,Modified Copper(I) Oxide (nanostructured),Cu2O,Cubic,1.459,False,1.52,1.52,6.59e+19,250.71,0.174,8.25e+03,3.06,707.0,High,General semiconductor applications
HYB-MAPbI3-InP-0509,Hybrid Methylammonium Lead Iodide-Indium Phosphide,CH3NH3PbI3-InP,Cubic,1.447,False,2384.77,2055.96,4.70e+18,461.55,0.244,6.86e+03,2.9,460.7,Medium,Transistors
RAND-0510,MicroSnmide,Zn1SiTe,Cubic,1.492,True,78.76,4733.35,2.24e+16,433.66,3.738,5.60e+03,2.18,687.5,High,General semiconductor applications
MOD-Graphene-0511,Graphene,C,Hexagonal,0.0,True,11363.72,21168.11,7.63e+15,76.69,0.0,1.10e+05,2.33,1179.7,Very High,General semiconductor applications
RAND-0512,SynthPbphene,Te2BSi1,Monoclinic,1.021,True,1.78,889.84,1.97e+16,96.88,7.933,1.41e+04,3.18,665.7,High,General semiconductor applications
HYB-GaAs-CdS-0513,Hybrid Gallium Arsenide-Cadmium Sulfide,GaAs-CdS,Wurtzite,1.745,True,3413.17,3490.11,3.62e+18,174.52,0.431,2.28e+05,3.71,486.6,Medium,"LEDs, Transistors, Photodetectors"
MOD-CdS-0514,Cadmium Sulfide,CdS,Zincblende,3.169,True,13.98,8.92,6.28e+19,130.68,2.221,2.81e+04,2.05,484.3,Medium,General semiconductor applications
MOD-TiO2-0515,Custom Titanium Dioxide (quantum-confined),TiO2,Anatase,4.05,True,0.1,0.07,3.39e+20,260.4,2.187,1.45e+04,1.52,325.5,Medium,General semiconductor applications
MOD-AlGaAs-0516,Aluminium Gallium Arsenide,AlGaAs,Zincblende,1.383,True,2658.99,3385.41,3.98e+17,408.06,0.263,2.39e+05,3.91,177.4,Low,"Transistors, Photodetectors"
